Japanese government data,,,,,HMD Cause of death data,,,,,Differences in rate
agegroup,sex,year,rate,,agegroup,sex,year,rate,,Diff
total ,both,2000,24.1,,total,both,2000,24.4,,0.3
total ,both,2001,23.3,,total,both,2001,23.7,,0.4
total ,both,2002,23.8,,total,both,2002,24.1,,0.3
total ,both,2003,25.5,,total,both,2003,25.8,,0.3
total ,both,2004,24,,total,both,2004,24.3,,0.3
total ,both,2005,24.2,,total,both,2005,24.6,,0.4
total ,both,2006,23.7,,total,both,2006,24.2,,0.5
total ,both,2007,24.4,,total,both,2007,24.9,,0.5
total ,both,2008,24,,total,both,2008,24.5,,0.5
total ,both,2009,24.4,,total,both,2009,24.9,,0.5
total ,both,2010,23.4,,total,both,2010,24.1,,0.7
total ,both,2011,22.9,,total,both,2011,23.6,,0.7
total ,both,2012,21,,total,both,2012,21.7,,0.7
total ,both,2013,20.7,,total,both,2013,21.4,,0.7
total ,both,2014,19.5,,total,both,2014,20.2,,0.7
total ,both,2015,18.5,,total,both,2015,19.2,,0.7
total ,both,2016,16.8,,total,both,2016,17.5,,0.7
total ,both,2017,16.4,,total,both,2017,17.2,,0.8
total ,both,2018,16.1,,total,both,2018,16.9,,0.8
total ,both,2019,15.7,,total,both,2019,16.5,,0.8
10 to 14,both,2000,1.1,,10 to 14,both,2000,1.1,,0
10 to 14,both,2001,0.9,,10 to 14,both,2001,1,,0.1
10 to 14,both,2002,0.6,,10 to 14,both,2002,0.6,,0
10 to 14,both,2003,1.1,,10 to 14,both,2003,1.1,,0
10 to 14,both,2004,0.8,,10 to 14,both,2004,0.8,,0
10 to 14,both,2005,0.7,,10 to 14,both,2005,0.7,,0
10 to 14,both,2006,1.3,,10 to 14,both,2006,1.3,,0
10 to 14,both,2007,0.8,,10 to 14,both,2007,0.8,,0
10 to 14,both,2008,1,,10 to 14,both,2008,1,,0
10 to 14,both,2009,0.9,,10 to 14,both,2009,0.9,,0
10 to 14,both,2010,1.1,,10 to 14,both,2010,1.1,,0
10 to 14,both,2011,1.3,,10 to 14,both,2011,1.3,,0
10 to 14,both,2012,1.3,,10 to 14,both,2012,1.3,,0
10 to 14,both,2013,1.6,,10 to 14,both,2013,1.6,,0
10 to 14,both,2014,1.8,,10 to 14,both,2014,1.8,,0
10 to 14,both,2015,1.6,,10 to 14,both,2015,1.6,,0
10 to 14,both,2016,1.3,,10 to 14,both,2016,1.3,,0
10 to 14,both,2017,1.9,,10 to 14,both,2017,1.9,,0
10 to 14,both,2018,1.9,,10 to 14,both,2018,1.9,,0
